(4, 5, 6, 7, 8, 9, 10, 11): [(3, 4), (3, 9), (3, 8), (3, 5), (3, 7), (3, 6), (3, 11), (3, 10)]
(3, 5, 6, 7, 8, 9, 10, 11): [(3, 7), (3, 6), (3, 8), (3, 3), (3, 9), (3, 5), (3, 11), (3, 10)]
(3, 4, 6, 7, 8, 9, 10, 11): [(3, 4), (3, 9), (3, 8), (3, 3), (3, 7), (3, 6), (3, 11), (3, 10)]
(3, 4, 5, 7, 8, 9, 10, 11): [(3, 4), (3, 9), (3, 8), (3, 3), (3, 7), (3, 5), (3, 11), (3, 10)]
(3, 4, 5, 6, 8, 9, 10, 11): [(3, 4), (3, 6), (3, 8), (3, 3), (3, 9), (3, 5), (3, 11), (3, 10)]
(3, 4, 5, 6, 7, 9, 10, 11): [(3, 4), (3, 6), (3, 9), (3, 3), (3, 7), (3, 5), (3, 11), (3, 10)]
(3, 4, 5, 6, 7, 8, 10, 11): [(3, 4), (3, 6), (3, 8), (3, 3), (3, 7), (3, 5), (3, 11), (3, 10)]
(3, 4, 5, 6, 7, 8, 9, 11): [(3, 4), (3, 6), (3, 9), (3, 3), (3, 7), (3, 5), (3, 11), (3, 8)]
(3, 4, 5, 6, 7, 8, 9, 10): [(3, 4), (3, 6), (3, 9), (3, 3), (3, 7), (3, 5), (3, 8), (3, 10)]
(2, 5, 6, 7, 8, 9, 10, 11): [(3, 7), (3, 6), (3, 8), (3, 2), (3, 9), (3, 5), (3, 11), (3, 10)]
(2, 4, 6, 7, 8, 9, 10, 11): [(3, 4), (3, 9), (3, 8), (3, 2), (3, 7), (3, 6), (3, 11), (3, 10)]
(2, 4, 5, 7, 8, 9, 10, 11): [(3, 4), (3, 9), (3, 8), (3, 2), (3, 7), (3, 5), (3, 11), (3, 10)]
(2, 4, 5, 6, 8, 9, 10, 11): [(3, 4), (3, 6), (3, 8), (3, 2), (3, 9), (3, 5), (3, 11), (3, 10)]
(2, 4, 5, 6, 7, 9, 10, 11): [(3, 4), (3, 6), (3, 9), (3, 2), (3, 7), (3, 5), (3, 11), (3, 10)]
